店名,URL
アイスクリームコーン,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/317/
イーストサイド・カフェ,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/300/
グレートアメリカン・ワッフルカンパニー,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/304/
スウィートハート・カフェ,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/316/
センターストリート・コーヒーハウス,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/306/
リフレッシュメントコーナー,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/303/
れすとらん北齋,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/313/
カフェ・オーリンズ,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/321/
クリスタルパレス・レストラン,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/323/
ザ・ガゼーボ,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/327/
スキッパーズ・ギャレー,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/331/
スクウィーザーズ・トロピカル・ジュースバー,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/334/
チャイナボイジャー,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/332/
パークサイドワゴン,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/305/
ブルーバイユー・レストラン,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/318/
フレッシュフルーツオアシス,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/330/
ボイラールーム・バイツ,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/333/
ポリネシアンテラス・レストラン,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/326/
ロイヤルストリート・ベランダ,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/322/
カウボーイ・クックハウス,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/499/
キャンプ・ウッドチャック・キッチン,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/339/
ザ・ダイヤモンドホースシュー,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/336/
ハングリーベア・レストラン,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/338/
プラザパビリオン・レストラン,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/335/
ペコスビル・カフェ,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/337/
グランマ・サラのキッチン,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/344/
ラケッティのラクーンサルーン,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/345/
キャプテンフックス・ギャレー,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/346/
クイーン・オブ・ハートのバンケットホール,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/349/
クレオズ,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/351/
トルバドールタバン,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/347/
ビレッジペイストリー,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/350/
マジカルマーケット,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/397/
ラ・タベルヌ・ド・ガストン,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/290/
ル・フウズ,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/291/
ル・プティポッパー,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/292/
ディンギードリンク,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/365/
トゥーントーン・トリート,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/364/
トゥーンポップ,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/376/
ヒューイ・デューイ・ルーイのグッドタイム・カフェ,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/362/
ポップ・ア・ロット・ポップコーン,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/380/
ミッキーのトレーラー,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/363/
ソフトランディング,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/354/
トゥモローランド・テラス,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/357/
パン・ギャラクティック・ピザ・ポート,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/353/
ビッグポップ,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/293/
プラズマ・レイズ・ダイナー,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/352/
ポッピングポッド,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/377/
フードブース（アドベンチャーランド側）,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/494/
フードブース（トゥモローランド側）,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/495/
キャリッジハウス・リフレッシュメント,https://www.tokyodisneyresort.jp//tdl/restaurant/detail/307/
